country,iso2c,iso3c,year,NY.GDP.PCAP.KD
Tanzania,TZ,TZA,2021,1041.75061035156
Tanzania,TZ,TZA,2020,1028.91186523438
Tanzania,TZ,TZA,2019,1039.51049804688
Tanzania,TZ,TZA,2018,1012.49896240234
Tanzania,TZ,TZA,2017,990.627197265625
Tanzania,TZ,TZA,2016,959.852294921875
Tanzania,TZ,TZA,2015,929.7998046875
Tanzania,TZ,TZA,2014,905.484252929688
Tanzania,TZ,TZA,2013,875.112976074219
Tanzania,TZ,TZA,2012,844.567993164063
Tanzania,TZ,TZA,2011,832.010070800781
Tanzania,TZ,TZA,2010,795.046020507813
Tanzania,TZ,TZA,2009,767.233459472656
Tanzania,TZ,TZA,2008,747.271667480469
Tanzania,TZ,TZA,2007,726.5927734375
Tanzania,TZ,TZA,2006,699.862731933594
Tanzania,TZ,TZA,2005,675.612365722656
Tanzania,TZ,TZA,2004,646.256591796875
Tanzania,TZ,TZA,2003,617.651306152344
Tanzania,TZ,TZA,2002,594.598815917969
Tanzania,TZ,TZA,2001,569.900146484375
Tanzania,TZ,TZA,2000,552.067810058594
