country,iso2c,iso3c,year,SP.POP.TOTL
Tanzania,TZ,TZA,2021,63588334
Tanzania,TZ,TZA,2020,61704518
Tanzania,TZ,TZA,2019,59872579
Tanzania,TZ,TZA,2018,58090443
Tanzania,TZ,TZA,2017,56267032
Tanzania,TZ,TZA,2016,54401802
Tanzania,TZ,TZA,2015,52542823
Tanzania,TZ,TZA,2014,50814552
Tanzania,TZ,TZA,2013,49253643
Tanzania,TZ,TZA,2012,47786137
Tanzania,TZ,TZA,2011,46416031
Tanzania,TZ,TZA,2010,45110527
Tanzania,TZ,TZA,2009,43957933
Tanzania,TZ,TZA,2008,42870884
Tanzania,TZ,TZA,2007,41716497
Tanzania,TZ,TZA,2006,40562052
Tanzania,TZ,TZA,2005,39439505
Tanzania,TZ,TZA,2004,38360879
Tanzania,TZ,TZA,2003,37333918
Tanzania,TZ,TZA,2002,36353531
Tanzania,TZ,TZA,2001,35414469
Tanzania,TZ,TZA,2000,34463704
