country,iso2c,iso3c,year,SM.POP.REFG
World,1W,WLD,2021,27.120192
World,1W,WLD,2020,26.365367
World,1W,WLD,2019,26.044498
World,1W,WLD,2018,25.905091
World,1W,WLD,2017,25.383513
World,1W,WLD,2016,22.524729
World,1W,WLD,2015,21.351533
World,1W,WLD,2014,19.534031
World,1W,WLD,2013,16.728282
World,1W,WLD,2012,15.416934
World,1W,WLD,2011,15.20166
World,1W,WLD,2010,15.239914
World,1W,WLD,2009,15.162383
World,1W,WLD,2008,15.160726
World,1W,WLD,2007,15.952902
World,1W,WLD,2006,14.325308
World,1W,WLD,2005,13.011239
World,1W,WLD,2004,13.805229
World,1W,WLD,2003,13.728696
World,1W,WLD,2002,14.61922
World,1W,WLD,2001,16.043088
World,1W,WLD,2000,15.935134
World,1W,WLD,1999,15.364642
World,1W,WLD,1998,15.05382
World,1W,WLD,1997,15.484076
World,1W,WLD,1996,16.725191
World,1W,WLD,1995,18.14196
World,1W,WLD,1994,18.846657
World,1W,WLD,1993,19.238525
World,1W,WLD,1992,20.545162
World,1W,WLD,1991,19.429141
World,1W,WLD,1990,19.850545
